시도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),운영기관(대),운영기관(소),급속충전량,충전기타입,이용자제한,위도경도
광주광역시,북구,광주광역시 북구 서하로 120,광주 용봉삼성아파트 지하주차장,공동주택시설,아파트,완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"35.186395215857,126.893378061"
서울특별시,성북구,서울특별시 성북구 아리랑로19길 60,정릉중앙하이츠빌1단지아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),스타코프,,AC완속,이용가능,"37.6021738,127.0100332"
경기도,고양시,경기도 고양시 일산동구 숲속마을1로 115,경기고양 풍동숲속마을8단지1주차장,공동주택시설,아파트,완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"37.671688620831,126.799643249"
경기도,성남시,경기도 성남시 분당구 구미로173번길 59,성남장애인고용공단본부,공공시설,지자체시설,완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"37.348441,127.1234302"
경기도,평택시,경기도 평택시 지제동삭1로 91,힐스테이트지제역,공동주택시설,아파트,완속,AC완속,타기관(보조금),스타코프,,AC완속,이용가능,"37.0219837,127.0791751"
광주광역시,북구,광주광역시 북구 무등로137번길 22-6,빛고을운수(운수사 전용),공동주택시설,사업장(사옥),급속,DC콤보,타기관,SK일렉링크,,DC콤보,이용가능,"35.1677591,126.8995208"
경기도,양평군,경기도 양평군 용문면 어수길 100,경기양평 다문지구반도유보라아이비파크 2 (급속완속콘센트),공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.479937201,127.59643921"
강원특별자치도,강릉시,강원특별자치도 강릉시 명주로 31,해람중학교옆 공영주차장,주차시설,일반주차장,급속,DC차데모+AC3상+DC콤보,타기관,한국전력,,DC차데모+AC3상+DC콤보,이용가능,"37.75298355698,128.8895857720"
경기도,화성시,경기도 화성시 동탄대로4길 17,금호어울림레이크아파트 입주자대표회의,공동주택시설,아파트,완속,AC완속,타기관(보조금),차지인,,AC완속,이용가능,"37.16315598,127.1078625"
경기도,화성시,경기도 화성시 수노을중앙로 293,송산 모아미래도,공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.275830250,126.82767609"
경상북도,김천시,경상북도 김천시 혁신1로 81,김천한신휴시티오피스텔,상업시설,숙박시설,완속,AC완속,타기관(보조금),SK일렉링크,,AC완속,이용가능,"36.115828,128.179502"
전북특별자치도,고창군,전북특별자치도 고창군 심원면 애향갯벌로 70,동호레져(INO),기타시설,기타,완속,AC완속,타기관(보조금),이노케이텍,,AC완속,이용가능,"35.51599105,126.50230885"
경기도,의정부시,경기도 의정부시 금신로 276,e편한세상신곡포레스타뷰 105동 B2,공동주택시설,아파트,완속,AC완속,타기관(보조금),이지차저,,AC완속,이용가능,"37.7432188,127.0681177"
경상북도,영덕군,경상북도 영덕군 영덕읍 해맞이길 225,영덕창포해맞이축구장,교육문화시설,경기장,급속,DC콤보,타기관,채비,,DC콤보,이용가능,"36.424849631,129.41983144"
서울특별시,노원구,서울특별시 노원구 공릉로 126,서울노원 공릉두산힐스빌아파트2,공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.620245667,127.08026701"
서울특별시,용산구,서울특별시 용산구 한남대로 91,서울 용산 나인원한남 B3F,기타시설,기타,완속,AC완속,타기관,한화솔루션,,AC완속,이용가능,"37.5364406,127.0034707"
서울특별시,중구,서울특별시 중구 동호로11나길 47,충현 공영주차장,주차시설,공영주차장,완속,AC완속,타기관,스타코프,,AC완속,이용가능,"37.552182540,127.00570063"
경기도,수원시,경기도 수원시 권선구 권선로381번길 1,5th아베뉴,기타시설,기타,완속,AC완속,타기관,GS차지비,,AC완속,이용가능,"37.271109100,126.99389050"
서울특별시,성북구,서울특별시 성북구 보국문로 188,대진여객,기타시설,기타,급속,DC콤보,타기관,펌프킨,,DC콤보,이용가능,"37.6176879,127.000675"
강원특별자치도,원주시,강원특별자치도 원주시 지정면 무릉로 43,팬더프라자,기타시설,기타,완속,AC완속,타기관,한화솔루션,,AC완속,이용가능,"37.374981,127.8777633"
인천광역시,동구,인천광역시 동구 방축로37번길 30,인천산업용품유통센터(1단지),기타시설,기타,완속,AC완속,타기관,코콤,,AC완속,이용가능,"37.486197916,126.65275119"
경기도,용인시,"경기도 용인시 수지구 정평로 89 (풍덕천동, 신정마을현대프라임아파트)",신정마을현대프라임3,공동주택시설,아파트,완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"37.32333765515,127.0901692128"
경기도,광명시,경기도 광명시 철산로 3-13,광명지사(공용),기타시설,사업장(사옥),급속,DC콤보,타기관,한국전력,,DC콤보,이용가능,"37.476725,126.866303"
서울특별시,송파구,서울특별시 송파구 잠실로 209,서울시 송파구 케이티송파타워,공동주택시설,사업장(사옥),완속,AC완속,타기관,GS차지비,,AC완속,이용가능,"37.513871074,127.10636439"
경기도,성남시,경기도 성남시 수정구 수정로366번길 7,산성역 환승주차장,주차시설,환승주차장,급속,DC콤보,타기관(보조금),한국전기차충전서비스,,DC콤보,이용가능,"37.456663243,127.15072140"
부산광역시,동래구,부산광역시 동래구 충렬사로 81,부산시 동래구 국제파크아파트,공동주택시설,아파트,완속,AC완속,타기관,GS차지비,,AC완속,이용가능,"35.2057978,129.1002258"
인천광역시,중구,인천광역시 중구 공항문화로 127 (운서동),인천중구 인스파이어 옥외주차장 2_미사용,공동주택시설,사업장(사옥),완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.4655301,126.3891177"
서울특별시,은평구,서울특별시 은평구 수색로 342-1,현대자동차 수색대리점,차량정비시설,서비스센터,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.5867665,126.8880299"
대전광역시,서구,대전광역시 서구 둔산대로 135,대전시립연정국악원 주차장,주차시설,일반주차장,급속,DC차데모+AC3상+DC콤보,타기관,한국전력,,DC차데모+AC3상+DC콤보,이용가능,"36.36535851220,127.3862894772"
경기도,포천시,경기도 포천시 영북면 영북로 166,경기포천 영북면사무소,공공시설,주민센터,완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"38.0892933,127.2756357"
제주특별자치도,제주시,제주특별자치도 제주시 금월길 72,아라루채빌,공동주택시설,아파트,완속,AC완속,타기관,선광시스템,,AC완속,이용가능,"33.48267222,126.55280901"
경기도,안양시,"경기도 안양시 동안구 호계동 1053-4 목련 동아,경남아파트",평촌목련8단지  ,공동주택시설,아파트,완속,AC완속,타기관(보조금),클린일렉스,,AC완속,이용가능,"37.38496,126.95366"
충청북도,청주시,충청북도 청주시 청원구 내덕로8번길 17,모텔큐,상업시설,숙박시설,완속,AC완속,타기관,이브이루씨,,AC완속,이용가능,"36.6548972,127.4826597"
인천광역시,계양구,인천광역시 계양구 봉오대로 668,인천계양 전주이씨효령대군파영신군종회 영신빌딩,공동주택시설,사업장(사옥),완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"37.5296271,126.7232062"
경기도,화성시,경기도 화성시 향남읍 상신리 906-10 대웅제약,대웅제약,기타시설,기타,완속,AC완속,타기관(보조금),씨어스,,AC완속,이용가능,"37.0877219,126.905319"
서울특별시,중구,서울특별시 중구 만리재로 175,서울 중구 서울역센트럴자이,공동주택시설,아파트,완속,AC완속,타기관(보조금),한화솔루션,,AC완속,이용가능,"37.5549829,126.9631642"
경기도,성남시,경기도 성남시 분당구 대왕판교로 670,유스페이스2,공동주택시설,사업장(사옥),완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"37.4020464,127.1068942"
경기도,용인시,경기도 용인시 수지구 만현로133번길 33,경기용인 상현엘지자이아파트10,공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.304786685,127.09079293"
서울특별시,중랑구,서울특별시 중랑구 숙선옹주로 45,e-편한세상 화랑대아파트,공동주택시설,아파트,완속,AC완속,타기관,스타코프,,AC완속,이용가능,"37.616412,127.083185"
부산광역시,해운대구,부산광역시 해운대구 삼어로 55,센텀SK뷰아파트 P4주차장 109동 B1 64기둥,공동주택시설,아파트,완속,AC완속,타기관(보조금),이지차저,,AC완속,이용가능,"35.2027987,129.1152448"
경상남도,김해시,경상남도 김해시 진영읍 진영로454번길 68,김해시 황금빛,공동주택시설,사업장(사옥),완속,AC완속,타기관,GS차지비,,AC완속,이용가능,"35.293824718,128.75565136"
경기도,시흥시,경기도 시흥시 배곧3로 27-8,경기시흥 호반베르디움센트럴파크 805동,공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.374345454,126.72784183"
충청남도,서산시,충청남도 서산시 부석면 간월도1길 89,간월도 공영주차장,주차시설,공영주차장,급속,DC콤보,타기관,채비,,DC콤보,이용가능,"36.607467658,126.41566128"
경상북도,포항시,경상북도 포항시 북구 흥해읍 동해대로 1513,흥해체육관,공공시설,지자체시설,급속,DC콤보,타기관(보조금),레드이엔지,,DC콤보,이용가능,"36.1075,129.341"
서울특별시,용산구,서울특별시 용산구 새창로 70,도원삼성래미안아파트,공동주택시설,아파트,완속,AC완속,타기관,스타코프,,AC완속,이용가능,"37.538603053,126.95494349"
충청남도,아산시,충청남도 아산시 탕정면 탕정로 320,충남아산삼성디스플레이5,기타시설,기타,완속,AC완속,타기관,한국전기차인프라기술,,AC완속,이용가능,"36.8171027,127.0558358"
부산광역시,해운대구,부산광역시 해운대구 센텀남대로 35,신세계백화점센텀시티점,상업시설,백화점,완속,AC완속,타기관,신세계아이앤씨,,AC완속,이용가능,"35.1687,129.1295"
대전광역시,대덕구,대전광역시 대덕구 대덕대로 1397,(사)대덕산업단지관리공단,공동주택시설,사업장(사옥),완속,AC완속,타기관(보조금),SK일렉링크,,AC완속,이용가능,"36.445958,127.404572"
서울특별시,서대문구,서울특별시 서대문구 성산로20길 9,서대문동우체국,공공시설,공공기관,완속,AC완속,타기관,이지차저,,AC완속,이용가능,"37.5608435,126.932091"
경기도,용인시,경기도 용인시 기흥구 사은로84번길 10,보라해링턴플레이스아파트,공동주택시설,아파트,완속,AC완속,타기관,신세계아이앤씨,,AC완속,이용가능,"37.2542,127.1148"
서울특별시,도봉구,서울특별시 도봉구 방학로11길 10,방학한화성원아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"37.6608822,127.0318328"
경기도,고양시,경기도 고양시 덕양구 덕수천1로 37,고양삼송마을1813동,공동주택시설,아파트,완속,AC완속,타기관(보조금),한국전기차인프라기술,,AC완속,이용가능,"37.6479597,126.8785182"
대전광역시,유성구,대전광역시 유성구 죽동로279번길 101,죽동프라자,기타시설,기타,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"36.3725767,127.3390571"
강원특별자치도,양양군,강원특별자치도 양양군 강현면 동해대로 3457,코레일 낙산연수원 주차장,주차시설,일반주차장,완속,AC완속,타기관,SK일렉링크,,AC완속,이용가능,"38.1459343,128.6099464"
강원특별자치도,강릉시,강원특별자치도 강릉시 해안로 536,라카이리조트,상업시설,숙박시설,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"37.805312129,128.90434178"
충청남도,금산군,충청남도 금산군 금산읍 인삼로 14,금산교육지원청,공공시설,관공서,급속,DC콤보,타기관,블루네트웍스,,DC콤보,이용가능,"36.1035148,127.483322"
충청북도,음성군,충청북도 음성군 감곡면 중간말길 7-9,음성 제일가든,기타시설,기타,완속,AC완속,타기관,이브이파킹서비스,,AC완속,이용가능,"37.11155817,127.69574285"
인천광역시,연수구,인천광역시 연수구 해돋이로 107,더샵퍼스트월드,공동주택시설,아파트,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용가능,"37.392535,126.647994"
충청남도,천안시,충청남도 천안시 서북구 두정역길 48,충남천안 두정역푸르지오4,공동주택시설,아파트,완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"36.833219677,127.15121225"
경기도,수원시,경기도 수원시 장안구 이목로 24,수원SK스카이뷰아파트 113동 B1,공동주택시설,아파트,완속,AC완속,타기관(보조금),이지차저,,AC완속,이용가능,"37.307109586,126.98456330"
경기도,안산시,경기도 안산시 단원구 원포공원2로 6,위너스오션파크,공동주택시설,사업장(사옥),완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"37.3010758,126.8104542"
부산광역시,사상구,부산광역시 사상구 학감대로 117,부산시 사상구 세원빌딩,기타시설,기타,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"35.1411349,128.9885972"
전북특별자치도,전주시,전북특별자치도 전주시 덕진구 추탄로 61,하가더루벤스 (완속충전기),공동주택시설,아파트,완속,AC완속,타기관(보조금),스타코프,,AC완속,이용가능,"35.846368346,127.10840025"
경기도,용인시,경기도 용인시 기흥구 용구대로2469번길 161,E1 용인청정 전기차 충전소,상업시설,주유소,급속,DC콤보,타기관,E1,,DC콤보,이용가능,"37.3211636,127.1042523"
강원특별자치도,춘천시,강원특별자치도 춘천시 신북읍 사랑말길 145,춘천시 춘천장어마을,상업시설,음식점,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"37.936889668877,127.744770947"
서울특별시,강남구,서울특별시 강남구 자곡로 191,강남푸르지오시티1차오피스텔,공동주택시설,아파트,완속,AC완속,타기관,GS차지비,,AC완속,이용가능,"37.474870148,127.10357562"
서울특별시,구로구,서울특별시 구로구 구일로10길 27,에스케이허브수아파트,기타시설,오피스텔,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"37.4959404,126.8722666"
인천광역시,연수구,인천광역시 연수구 옥련로99번길 44,인천시 연수구 아주아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"37.4272220,126.6525279"
대전광역시,서구,대전광역시 서구 도산로 8,도마e편한세상포레나 (완속충전기),공동주택시설,아파트,완속,AC완속,타기관,스타코프,,AC완속,이용가능,"36.311624590,127.38444664"
충청남도,천안시,충청남도 천안시 동남구 신부15길 7,충남청안 한화아파트,공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"36.820267724,127.16193403"
경상남도,양산시,경상남도 양산시 물금읍 백호로 155,양산신도시4차동원로얄듀크비스타,공동주택시설,아파트,완속,AC완속,타기관,휴맥스이브이,,AC완속,이용가능,"35.3127808,129.0089677"
대구광역시,북구,대구광역시 북구 칠곡중앙대로 403-1,엘리젤 모텔,상업시설,숙박시설,완속,AC완속,타기관,차지인,,AC완속,이용가능,"35.9318720,128.5478607"
대전광역시,동구,대전광역시 동구 신기로 112,대전가오초등학교,교육문화시설,학교,완속,AC완속,타기관,볼타,,AC완속,이용가능,"36.310174,127.458459"
경상북도,경산시,경상북도 경산시 대학로 280,영남대학교(경산),교육문화시설,학교,완속,AC완속,타기관,파킹클라우드,,AC완속,이용가능,"35.830491,128.752180"
제주특별자치도,서귀포시,제주특별자치도 서귀포시 안덕면 한창로 340,헬로키티아일랜드,관광시설,전시관,급속,DC차데모+DC콤보,타기관,한국전기차충전서비스,,DC차데모+DC콤보,이용가능,"33.288597,126.352664"
경상남도,사천시,경상남도 사천시 용현면 용현로 87,사천덕산아내아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"35.0071,128.063"
부산광역시,기장군,부산광역시 기장군 기장읍 동부산관광7로 17,오시리아 스위첸마티에 관리단,기타시설,오피스텔,완속,AC완속,타기관(보조금),파워큐브,,AC완속,이용가능,"35.188722959,129.21349682"
서울특별시,성동구,서울특별시 성동구 무학봉길 48,하왕십리 공영주차장,주차시설,공영주차장,완속,AC완속,타기관,스타코프,,AC완속,이용가능,"37.560241,127.027901"
부산광역시,기장군,부산광역시 기장군 기장읍 기장해안로 147,롯데프리미엄아울렛 동부산점,상업시설,백화점,완속,AC완속,타기관,이브이시스,,AC완속,이용가능,"35.190242396,129.21136437"
충청북도,청주시,충청북도 청주시 흥덕구 대농로 17,청주시 신영지웰시티1차,공동주택시설,아파트,완속,AC완속,타기관,GS차지비,,AC완속,이용가능,"36.642739668,127.42510239"
제주특별자치도,제주시,제주특별자치도 제주시 노연로 12,드림타워 전기차충전소 지하5층 AB구역,상업시설,숙박시설,완속,AC완속,타기관,제주전기자동차서비스,,AC완속,이용가능,"33.4853,126.4815"
경기도,양주시,경기도 양주시 만송로 244,(주)로얄개발(레이크우드cc),공동주택시설,사업장(사옥),완속,AC완속,타기관,GS차지비,,AC완속,이용가능,"37.784758994,127.08712549"
세종특별자치시,세종특별자치시,세종특별자치시 새롬중앙로 34,세종 크리스마스빌딩,기타시설,기타,완속,AC완속,타기관,이카플러그,,AC완속,이용가능,"36.484591916,127.25249257"
강원특별자치도,원주시,강원특별자치도 원주시 만대로 119,무실6단지휴먼시아,공동주택시설,아파트,완속,AC완속,타기관,휴맥스이브이,,AC완속,이용가능,"37.337167017,127.91974870"
서울특별시,양천구,서울특별시 양천구 목동서로 155,서울양천 목동파라곤오피스텔,공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.5299956,126.875072"
부산광역시,연제구,부산광역시 연제구 중앙대로 1217,국제문화센터,기타시설,기타,완속,AC완속,타기관(보조금),LG유플러스,,AC완속,이용가능,"35.195916,129.079314"
전북특별자치도,김제시,전북특별자치도 김제시 금구면 봉두로 132,삼성생명전주연수소,공동주택시설,사업장(사옥),완속,AC완속,타기관,채비,,AC완속,이용가능,"35.776973000,127.016301"
경기도,의왕시,경기도 의왕시 왕소나무길 18,기아오토큐 월암점 (급),차량정비시설,서비스센터,급속,DC콤보,타기관,이지차저,,DC콤보,이용가능,"37.303599502,126.95563778"
서울특별시,구로구,"서울특별시 구로구 남부순환로 775 (개봉동, 개봉푸르지오)",개봉푸르지오아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"37.500339,126.848120"
서울특별시,강서구,서울특별시 강서구 양천로 542,기아 강서서비스센터,공동주택시설,사업장(사옥),완속,AC완속,타기관,스타코프,,AC완속,이용가능,"37.558518477,126.85901917"
대구광역시,수성구,대구광역시 수성구 무열로 47,만촌태왕리더스,공동주택시설,아파트,완속,AC완속,타기관(보조금),씨어스,,AC완속,이용가능,"35.8631795,128.647862"
경상남도,양산시,"경상남도 양산시 양주로 32 (남부동, 양산신도시동원로얄듀크)",양산동원로얄듀크,공동주택시설,아파트,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"35.331049,129.027474"
경기도,광명시,경기도 광명시 일직로 17,롯데몰 광명점,상업시설,마트(쇼핑몰),급속,DC콤보,타기관,이브이시스,,DC콤보,이용가능,"37.4242712,126.8847479"
강원특별자치도,양구군,강원특별자치도 양구군 방산면 성곡로 1562-8,포레스트벨리,기타시설,기타,완속,AC완속,타기관,쿨사인,,AC완속,이용가능,"38.1860718,127.9516507"
경기도,시흥시,경기도 시흥시 역전로 300,스카이드림씨티2동오피스텔,기타시설,오피스텔,완속,AC완속,타기관(보조금),이카플러그,,AC완속,이용가능,"37.3526052,126.7394569"
전라남도,목포시,전라남도 목포시 원형서로 15,롯데마트맥스 목포점,상업시설,마트(쇼핑몰),급속,DC콤보,타기관,이브이시스,,DC콤보,이용가능,"34.7972464,126.4294676"
강원특별자치도,원주시,강원특별자치도 원주시 문막읍 원문로 1700,서원주코아루아너스,공동주택시설,아파트,완속,AC완속,타기관,휴맥스이브이,,AC완속,이용가능,"37.315433281,127.82576086"
경기도,구리시,경기도 구리시 동구릉로136번길 47,롯데아울렛 구리점,상업시설,마트(쇼핑몰),완속,AC완속,타기관,이브이시스,,AC완속,이용가능,"37.6122158,127.1403509"
경상남도,창원시,경상남도 창원시 마산회원구 양덕로 151,경남창원 한일타운2차아파트202동,공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"35.231991963,128.58210689"
강원특별자치도,춘천시,강원특별자치도 춘천시 보안길 36,강원춘천 후평우미린아파트 P3,공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.877971519,127.75271856"
경기도,고양시,경기도 고양시 일산동구 숲속마을로 14-7,풍동제3공영주차장,주차시설,공영주차장,급속,DC차데모+DC콤보,타기관,한국전기차충전서비스,,DC차데모+DC콤보,이용가능,"37.667738,126.800965"
대전광역시,동구,대전광역시 동구 한남로67번길 193,다우 갤러리 휴리움 아파트,공동주택시설,아파트,완속,AC완속,타기관,스타코프,,AC완속,이용가능,"36.345289119,127.42519358"
경기도,평택시,경기도 평택시 지제동삭1로 91,힐스테이트지제역,공동주택시설,아파트,완속,AC완속,타기관(보조금),스타코프,,AC완속,이용가능,"37.0219837,127.0791751"
인천광역시,강화군,인천광역시 강화군 길상면 장흥로 217,강화 씨사이드리조트(실외주차장),상업시설,숙박시설,완속,AC완속,타기관,서울씨엔지,,AC완속,이용가능,"37.6171221,126.4981148"
전라남도,목포시,전라남도 목포시 고하대로 641-10,전남목포 신안비치2차아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"34.807479085768,126.368875807"
전북특별자치도,완주군,전북특별자치도 완주군 삼례읍 동학로 36-13,완주군 에이스모텔,상업시설,숙박시설,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"35.910603257155,127.075705686"
충청북도,청주시,충청북도 청주시 상당구 중고개로 288,충북청주 장자마을7단지부영(P3),공동주택시설,아파트,완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"36.630278851978,127.508770433"
서울특별시,강남구,서울특별시 강남구 논현로 164,튼튼영어 (주)유니북스,기타시설,기타,완속,AC완속,타기관,이브이씨코리아,,AC완속,이용가능,"37.484312,127.042167"
서울특별시,강남구,서울특별시 강남구 도산대로17길 30,서울용산 오리온홀딩스,공동주택시설,사업장(사옥),완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.5356721,126.9695135"
서울특별시,마포구,서울특별시 마포구 월드컵북로 501,상암월드컵파크9단지 911동,공동주택시설,아파트,완속,AC완속,타기관(보조금),이지차저,,AC완속,이용가능,"37.5833581,126.8789018"
인천광역시,남동구,인천광역시 남동구 선수촌로 55,구월아시아드 선수촌아파트 103동,공동주택시설,아파트,완속,AC완속,타기관,이지차저,,AC완속,이용가능,"37.4452069,126.7129905"
경기도,고양시,경기도 고양시 덕양구 동송로 23-50 (동산동),경기고양 아이엠삼송오피스텔 4,기타시설,오피스텔,완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"37.6482349,126.8917058"
경기도,용인시,경기도 용인시 기흥구 사은로126번길 10,경기용인 민속마을쌍용아파트11(B2),공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.25168658,127.1175604"
전라남도,나주시,전라남도 나주시 그린로 125,광주전남혁신2단지 부영아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),레드이엔지,,AC완속,이용가능,"35.013,126.782"
대전광역시,유성구,대전광역시 유성구 가정로 76,대전 유성 한화케미칼 중앙연구소 지상주차장,기타시설,기타,급속,DC콤보,타기관,한화솔루션,,DC콤보,이용가능,"36.383715,127.351725"
제주특별자치도,서귀포시,제주특별자치도 서귀포시 색달동 2889-1,중문 관광단지,관광시설,관광지,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"33.2461812,126.4143365"
서울특별시,노원구,서울특별시 노원구 화랑로 325,서울시 노원구 우현빌딩,기타시설,기타,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"37.6149530,127.0640434"
전북특별자치도,완주군,전북특별자치도 완주군 삼례읍 삼례리 896-13,삼례공영주차장,주차시설,공영주차장,급속,급속(200kW동시),환경부,환경부(협회),급속(200kW동시),DC콤보,이용가능,"35.9121028,127.0758181"
서울특별시,양천구,서울특별시 양천구 신정이펜1로 20,서남병원,근린생활시설,병원,완속,AC완속,타기관,채비,,AC완속,이용가능,"37.512187,126.833078"
경기도,광명시,경기도 광명시 일직로 17,롯데몰 광명점,상업시설,마트(쇼핑몰),급속,DC콤보,타기관,이브이시스,,DC콤보,이용가능,"37.4242712,126.8847479"
서울특별시,은평구,서울특별시 은평구 통일로 1050,롯데마트 은평점,상업시설,마트(쇼핑몰),완속,AC완속,타기관,이브이시스,,AC완속,이용가능,"37.6385121,126.9181413"
제주특별자치도,제주시,제주특별자치도 제주시 노연로 100,신라스테이제주,상업시설,숙박시설,완속,AC완속,타기관,신세계아이앤씨,,AC완속,이용가능,"33.4855,126.491"
부산광역시,동래구,부산광역시 동래구 아시아드대로134번길 14,쌍용더플래티넘사직아시아드,공동주택시설,아파트,완속,AC완속,타기관,이지차저,,AC완속,이용가능,"35.1964728,129.0667632"
전라남도,완도군,전라남도 완도군 신지면 울몰길 81,신지더편안리조트,상업시설,숙박시설,완속,AC완속,타기관(보조금),신세계아이앤씨,,AC완속,이용가능,"34.326752,126.831255"
충청남도,홍성군,충청남도 홍성군 홍성읍 문화로72번길 50,홍성남장이안아파트,공동주택시설,아파트,완속,AC완속,타기관,휴맥스이브이,,AC완속,이용가능,"36.591274549,126.66377700"
충청남도,천안시,충청남도 천안시 동남구 쉼1길 42 (삼룡동)173-1,천안삼거리(서울) 휴게소,휴게시설,고속도로 휴게소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.7882107,127.1735101"
제주특별자치도,제주시,제주특별자치도 제주시 청사로 59,정부제주지방합동청사_옥외주차장,공공시설,공공기관,완속,AC완속,타기관,휴맥스이브이,,AC완속,이용가능,"33.490865046,126.52505846"
전라남도,목포시,전라남도 목포시 삼학로 154,목포시 봉황장례식장,근린생활시설,병원,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"34.7867545,126.4006104"
경기도,화성시,경기도 화성시 동탄기흥로 614,경기화성 동탄더퍼스트타워2차 1,공동주택시설,사업장(사옥),완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"37.2154115,127.0952288"
경기도,용인시,경기도 용인시 기흥구 죽전로 20,죽전누리에뜰,공동주택시설,아파트,완속,AC완속,타기관(보조금),씨어스,,AC완속,이용가능,"37.3200176,127.111144"
서울특별시,강남구,서울특별시 강남구 개포로110길 15,개포7차우성아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),클린일렉스,,AC완속,이용가능,"37.4920292,127.0775192"
경기도,용인시,경기도 용인시 수지구 동천로 64,용인시 동천디이스트아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"37.34,127.096"
인천광역시,연수구,인천광역시 연수구 랜드마크로 110,송도오션파크베르디움 105동 지하1층 주차장 49기둥,공동주택시설,아파트,완속,AC완속,타기관(보조금),이지차저,,AC완속,이용가능,"37.4159199,126.6183747"
전북특별자치도,전주시,전북특별자치도 전주시 완산구 호암로 2,효자휴먼시아 1단지,공동주택시설,아파트,완속,AC완속,타기관,한화솔루션,,AC완속,이용가능,"35.8083393,127.0968366"
인천광역시,남동구,인천광역시 남동구 염전로425번길 17,에코파크힐(더지움 종합건설) ,공동주택시설,아파트,완속,AC완속,타기관,클린일렉스,,AC완속,이용가능,"37.46998,126.68745"
경기도,용인시,경기도 용인시 기흥구 동백중앙로16번길 16-25,용인시 대우프론티어밸리1차,기타시설,기타,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"37.2568194,127.1678891"
서울특별시,관악구,서울특별시 관악구 인헌12길 46-1,서울관악 은천2단지아파트,공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.4706655,126.964564"
경상남도,김해시,경상남도 김해시 진영읍 장등1로31번길 7,진영휴먼빌 커뮤니티케이션앞 지하 d20기둥,공동주택시설,아파트,완속,AC완속,타기관(보조금),이지차저,,AC완속,이용가능,"35.3147501,128.7378713"
