시도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),운영기관(대),운영기관(소),급속충전량,충전기타입,이용자제한,위도경도
경기도,부천시,경기도 부천시 소사로170번길 81,부천시 부천한신아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"37.474849932,126.80114134"
서울특별시,종로구,서울특별시 종로구 새문안로 82,에스타워,기타시설,기타,완속,AC완속,타기관(보조금),차지인,,AC완속,이용가능,"37.569794648244,126.973931516"
세종특별자치시,세종특별자치시,세종특별자치시 도움1로 74,세종시 가재마을10단지,공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"36.501829326,127.25347285"
경기도,성남시,경기도 성남시 수정구 산성대로437번길 7,경기성남 성남단대푸르지오2,공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.450822739,127.15759888"
충청남도,당진시,충청남도 당진시 순성면 가화로 136,당진시 사과랑농어촌관광농원,관광시설,관광지,완속,AC완속,타기관,GS차지비,,AC완속,이용가능,"36.831659263,126.74290206"
광주광역시,서구,"광주광역시 서구 금호운천길 83 (쌍촌동, 상무푸르지오)",광주상무푸르지오아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"35.1398,126.871"
경기도,수원시,경기도 수원시 장안구 송원로 109-50 ,수원시 조원2동 주민센터,공공시설,주민센터,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"37.3056158299,127.0096780573"
대전광역시,서구,대전광역시 서구 둔산북로 160,한마루럭키아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),스타코프,,AC완속,이용가능,"36.355609544,127.39082998"
경상북도,경산시,경상북도 경산시 하양읍 대학로295길 26,경산하양롯데낙천대2차아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"35.9098946,128.8208278"
전북특별자치도,군산시,전북특별자치도 군산시 공단대로 566,롯데리아 산북점,상업시설,음식점,완속,AC완속,타기관(보조금),채비,,AC완속,이용가능,"35.970392,126.684262"
충청남도,천안시,충청남도 천안시 서북구 한들3로 35-23,백석2차아이파크,공동주택시설,아파트,완속,AC완속,타기관,휴맥스이브이,,AC완속,이용가능,"36.826361375,127.12169585"
서울특별시,관악구,서울특별시 관악구 청룡10길 45,E편한세상서울대1단지,공동주택시설,아파트,완속,AC완속,타기관,씨어스,,AC완속,이용가능,"37.478396,126.943047"
